Company Name,Company ID,Company Domain,SDR/BDR Headcount,Salesforce,HubSpot,Pipedrive,Zoho CRM,CRM Signals
QuestionPro,235389233,www.questionpro.com,9,Yes,,,,Salesforce
Protegrity,31491164,www.protegrity.com,0,Yes,,,,Salesforce
Filevine,367467293,www.filevine.com,65,Yes,,,,Salesforce
Cyara,354036749,www.cyara.com,6,Yes,,,,Salesforce
ControlUp,371363453,www.controlup.com,5,Yes,,,,Salesforce
Nozomi Networks,369747264,www.nozominetworks.com,3,Yes,,,,Salesforce
G2,356814845,www.g2.com,12,Yes,,Yes,,Salesforce; Pipedrive
Cleo,8454166,www.cleo.com,13,Yes,,,,Salesforce
Flock Freight,374859487,www.flockfreight.com,0,Yes,,,,Salesforce
Cantaloupe,544992062,www.cantaloupe.com,0,Yes,,,,Salesforce
Arteris IP,350884310,www.arteris.com,0,,Yes,,,HubSpot
Alepo Technologies,2181505,www.alepo.com,0,Yes,,,,Salesforce
BirchStreet Systems,351843182,www.birchstreetai.com,1,Yes,,,,Salesforce
Cloudian,356612068,www.cloudian.com,1,Yes,,,,Salesforce
Kayne Anderson,74418989,www.kayneanderson.com,0,Yes,,,,Salesforce
Fusion Risk Management,91588614,www.fusionrm.com,5,Yes,,,,Salesforce
H2O.ai,371784351,www.h2o.ai,1,Yes,,,,Salesforce
Etap,72483692,www.etap.com,0,Yes,,,,Salesforce
Jitterbit,81955260,www.jitterbit.com,7,Yes,,,,Salesforce
Backblaze,350857349,www.backblaze.com,3,Yes,,,,Salesforce
EasyPost,371826574,www.easypost.com,4,Yes,,,,Salesforce
SnapLogic,262291773,www.snaplogic.com,1,Yes,,,,Salesforce
FiscalNote,371611019,www.fiscalnote.com,11,Yes,,,,Salesforce
Cardlytics,351136429,www.cardlytics.com,0,Yes,,,,Salesforce
Reputation,345018708,www.reputation.com,16,Yes,,,,Salesforce
Scylla,370664303,www.scylladb.com,5,Yes,,,,Salesforce
Muvi,348864973,www.muvi.com,0,Yes,,,,Salesforce
MariaDB,345713000,www.mariadb.com,0,Yes,,,,Salesforce
Percona,353782621,www.percona.com,3,Yes,,,,Salesforce
Aviatrix,369065752,www.aviatrix.ai,0,Yes,,,,Salesforce
Hazelcast,347383675,www.hazelcast.com,1,Yes,,,,Salesforce
CentralReach,348025105,www.centralreach.com,9,Yes,,,,Salesforce
MATRIXX Software,73566724,www.matrixx.com,0,Yes,,,,Salesforce
Softheon,35504829,www.softheon.com,0,Yes,,,,Salesforce
OpenEye,43107912,www.openeye.net,11,Yes,,,,Salesforce
Generate,367093451,www.generatecapital.com,0,Yes,,,,Salesforce
Actian,345685634,www.actian.com,7,Yes,,,,Salesforce
TrueCar,347791238,www.truecar.com,0,Yes,,,,Salesforce
Blink Charging,398392063,www.blinkcharging.com,1,Yes,,,,Salesforce
Allego,356915316,www.allego.com,9,Yes,Yes,,,Salesforce; HubSpot
Alert Enterprise,354165979,www.alertenterprise.com,1,Yes,,,,Salesforce
Headspin,409517791,www.headspin.io,5,,,Yes,,Pipedrive
AireSpring,5739766,www.airespring.com,1,Yes,,,,Salesforce
iBASEt,18563750,www.ibaset.com,2,Yes,,,,Salesforce
CData Software,371574015,www.cdata.com,10,Yes,,,,Salesforce
HomeLight,355908954,www.homelight.com,0,Yes,,,,Salesforce
Swimlane,368150171,www.swimlane.com,4,Yes,,,,Salesforce
Aisera,354281890,www.aisera.com,2,Yes,,,,Salesforce
Persado,356287727,www.persado.com,0,Yes,,,,Salesforce
eClinical Solutions,357858552,www.eclinicalsol.com,0,Yes,,,,Salesforce
Sentry,412828341,www.sentry.io,1,Yes,,,,Salesforce
Aeris Communications,1788163,www.aeris.com,0,Yes,,,,Salesforce
Advantive,607098,www.advantive.com,8,Yes,,,,Salesforce
Kustomer,373535396,www.kustomer.com,18,Yes,,,,Salesforce
DigitalBridge,60884997,www.digitalbridge.com,0,Yes,,,,Salesforce
Datacor,18777379,www.datacor.com,2,Yes,,,,Salesforce
Moveworks,450655734,www.moveworks.com,6,Yes,Yes,,,Salesforce; HubSpot
VideoAmp,365401547,www.videoamp.com,0,Yes,,,,Salesforce
Procare Solutions,31342733,www.procaresoftware.com,25,Yes,,,,Salesforce
Pipefy,369058720,www.pipefy.com,18,Yes,,,,Salesforce
Agiloft,357351022,www.agiloft.com,4,Yes,,,,Salesforce
Nextworld,401823710,www.nextw.com,2,Yes,,,,Salesforce
Future Tech Enterprise,48205290,www.ftei.com,0,Yes,,,,Salesforce
Minitab,66800452,www.minitab.com,12,Yes,,,,Salesforce
OpsRamp,447341134,www.opsramp.com,0,Yes,,,,Salesforce
Autonomous Solution,6358924,www.asirobots.com,0,Yes,,,,Salesforce
apexanalytix,14571517,www.apexanalytix.com,6,Yes,,,,Salesforce
Aidoc,353825787,www.aidoc.com,0,Yes,,,,Salesforce
CIS Secure,37275916,www.cissecure.com,0,Yes,,,,Salesforce
Weedmaps,346806247,www.weedmaps.com,2,Yes,,,,Salesforce
Nextech,44124446,www.nextech.com,2,Yes,Yes,,,Salesforce; HubSpot
Arity,4769231,www.arity.com,0,Yes,,,,Salesforce
DreamBox Learning,11813568,www.dreambox.com,2,Yes,,,,Salesforce
INRIX,59115677,www.inrix.com,2,Yes,,,,Salesforce
KPA,37898185,www.kpa.io,2,Yes,,,,Salesforce
VIPRE Security Group,347101218,www.vipre.com,2,Yes,,,,Salesforce
Platinum Equity,76530343,www.platinumequity.com,0,Yes,,,,Salesforce
James River Equipment,1143234022,www.jamesriverequipment.com,0,Yes,,,,Salesforce
Brivo,5603655,www.brivo.com,7,Yes,,,,Salesforce
Appy Pie,355401808,www.appypie.com,0,Yes,,,,Salesforce
Blend,345416484,www.blend.com,1,Yes,,,,Salesforce
Menlo Security,371681202,www.menlosecurity.com,6,Yes,,,,Salesforce
PracticeSuite,358019543,www.practicesuite.com,4,Yes,Yes,,,Salesforce; HubSpot
Spireon,347264614,www.spireon.com,21,Yes,,,,Salesforce
RethinkEd,350601772,www.rethinked.com,2,Yes,,,,Salesforce
Coro,374735557,www.coro.net,2,Yes,,,,Salesforce
Starry,343816144,www.starry.com,1,Yes,,,,Salesforce
Overhaul,371927423,www.over-haul.com,1,Yes,,,,Salesforce
Scale Computing,351895373,www.scalecomputing.com,0,Yes,,,,Salesforce
Medable,359375382,www.medable.com,0,Yes,,,,Salesforce
FullStory,374846187,www.fullstory.com,6,Yes,,,,Salesforce
Eltropy,369352359,www.eltropy.com,0,Yes,,,,Salesforce
Versapay,288866319,www.versapay.com,11,Yes,,,,Salesforce
Anju,374747953,www.anjusoftware.com,0,Yes,,,,Salesforce
HireVue,67175947,www.hirevue.com,3,Yes,,,,Salesforce
Nuvolo,352126084,www.nuvolo.com,10,Yes,,,,Salesforce
ExaGrid,13566647,www.exagrid.com,1,Yes,,,,Salesforce
PrismHR,97306335,www.prismhr.com,0,Yes,,,,Salesforce
Tive,404621224,www.tive.com,7,Yes,,,,Salesforce
LinkSquares,370608749,www.linksquares.com,10,Yes,,,,Salesforce
SambaSafety,111398166,www.sambasafety.com,8,Yes,Yes,,,Salesforce; HubSpot
WideOrbit,248873075,www.wideorbit.com,0,Yes,,,,Salesforce
Anova,5392921,www.anova.com,3,Yes,,,,Salesforce
Red Canary,56426943,www.redcanary.com,3,Yes,,,,Salesforce
Sitetracker,346770220,www.sitetracker.com,8,Yes,,,,Salesforce
Homecare Homebase,39880229,www.hchb.com,3,Yes,,,,Salesforce
Vestwell,398476387,www.vestwell.com,22,Yes,,,,Salesforce
OneCause,28852888,www.onecause.com,12,Yes,,,,Salesforce
Comply365,345829072,www.comply365.com,0,Yes,,,,Salesforce
GSE Systems,34901067,www.gses.com,0,Yes,,,,Salesforce
Provenir,56886265,www.provenir.com,3,Yes,,,,Salesforce
EtQ,31478874,www.etq.com,5,Yes,,,,Salesforce
Planet DDS,343545061,www.planetdds.com,3,Yes,,,,Salesforce
Clickatell,12814180,www.clickatell.com,2,Yes,,,,Salesforce
Calendly,374945483,www.calendly.com,2,Yes,,,,Salesforce
Itential,363283654,www.itential.com,4,Yes,,,,Salesforce
Capacity,473970916,www.capacity.com,0,Yes,,,,Salesforce
Zenlayer,370697637,www.zenlayer.com,0,Yes,,,,Salesforce
Castlelake,357488053,www.castlelake.com,0,Yes,,,,Salesforce
UpGuard,373722446,www.upguard.com,4,Yes,Yes,,,Salesforce; HubSpot
Bloomerang,371763531,www.bloomerang.com,54,Yes,,,,Salesforce
Lynx Software Technologies,84018501,www.lynx.com,0,Yes,,,,Salesforce
HealthJoy,368329127,www.healthjoy.com,1,Yes,Yes,,,Salesforce; HubSpot
LucidLink,406149527,www.lucidlink.com,0,Yes,,,,Salesforce
Tyme Global Technologies,358389564,www.tymeglobal.com,4,,Yes,,,HubSpot
EliseAI,566146128,www.eliseai.com,23,Yes,,,,Salesforce
Kaltura,345948934,www.kaltura.com,3,Yes,,,,Salesforce
DealHub,451329573,www.dealhub.io,6,Yes,,Yes,,Salesforce; Pipedrive
Cresta,481374014,www.cresta.com,13,Yes,,,,Salesforce
CB Insights,345610047,www.cbinsights.com,15,Yes,,,,Salesforce
Inovaare,348151902,www.inovaare.com,0,,,,Yes,Zoho CRM
Alianza,3330193,www.alianza.com,0,Yes,,,,Salesforce
DroneDeploy,356950887,www.dronedeploy.com,3,Yes,,,,Salesforce
Invoice Cloud,346519405,www.invoicecloud.net,10,Yes,,,,Salesforce
Apiture,357301457,www.apiture.com,1,Yes,,,,Salesforce
PayActiv,363781787,www.payactiv.com,29,Yes,,,,Salesforce
Seeq,357194246,www.seeq.com,7,Yes,,,,Salesforce
Hammerspace,471477002,www.hammerspace.com,2,Yes,,,,Salesforce
Knightscope,357187584,www.knightscope.com,0,Yes,,,,Salesforce
Cofense,445594512,www.cofense.com,0,Yes,,,,Salesforce
Dialogic,11207492,www.dialogic.com,0,Yes,,,,Salesforce
Daon,10551318,www.daon.com,0,Yes,,,,Salesforce
Muck Rack,345606655,www.muckrack.com,18,Yes,,,,Salesforce
Arcadia,15636643,www.arcadia.io,0,Yes,,,,Salesforce
LogicGate,382362949,www.logicgate.com,0,Yes,,,,Salesforce
GVTC Communications,343741499,www.gvtc.com,1,Yes,,,,Salesforce
Solutionreach,357654619,www.solutionreach.com,9,Yes,,,,Salesforce
Branch,371832462,www.branch.io,5,Yes,,,,Salesforce
Credible,58902957,www.credible.com,0,Yes,,,,Salesforce
ACS Technologies,1036080,www.acstechnologies.com,1,Yes,,,,Salesforce
Faithlife,368797002,www.faithlife.com,0,Yes,,,,Salesforce
Owl Cyber Defense,449352236,www.owlcyberdefense.com,0,Yes,,,,Salesforce
Omnidian,403174675,www.omnidian.com,0,Yes,,,,Salesforce
Ncontracts,347806394,www.ncontracts.com,20,Yes,,,,Salesforce
Finzly,474902190,www.finzly.com,1,,Yes,,,HubSpot
FranConnect,41700229,www.franconnect.com,2,Yes,,,,Salesforce
ELB Learning,565371844,www.elblearning.com,1,Yes,,,,Salesforce
GPS Insight,88344442,www.gpsinsight.com,4,Yes,,,,Salesforce
Cambridge Mobile Telematics,367529023,www.cmtelematics.com,0,Yes,,,,Salesforce
Pushpay,368465322,www.pushpay.com,9,Yes,,,,Salesforce
FieldEdge,399049127,www.fieldedge.com,5,Yes,,,,Salesforce
ServiceChannel,34571114,www.servicechannel.com,6,Yes,,,,Salesforce
Noregon,84935239,www.noregon.com,2,Yes,,,,Salesforce
Mark43,357286839,www.mark43.com,3,Yes,,,,Salesforce
Integrate,351496915,www.integrate.com,0,Yes,,,,Salesforce
Ceros,354039840,www.ceros.com,5,Yes,Yes,,,Salesforce; HubSpot
Simulations Plus,46334533,www.simulations-plus.com,0,Yes,,,,Salesforce
Adeptia,491530,www.adeptia.com,4,Yes,,,,Salesforce
Baxter Planning Systems,11357063,www.baxterplanning.com,1,Yes,,,,Salesforce
Terryberry,37946301,www.terryberry.com,2,Yes,,,,Salesforce
Pindrop,346812613,www.pindrop.com,9,Yes,,,,Salesforce
Watermark,452607947,www.watermarkinsights.com,3,Yes,,,,Salesforce
Incognia,482749925,www.incognia.com,0,,Yes,,,HubSpot
Brightside,7488505,www.brightside.com,0,Yes,,,,Salesforce
AppZen,355337503,www.appzen.com,9,Yes,Yes,,,Salesforce; HubSpot
Tekmetric,373999419,www.tekmetric.com,19,Yes,,,,Salesforce
Appspace,351120045,www.appspace.com,1,Yes,,,,Salesforce
Sendoso,415340921,www.sendoso.com,6,Yes,,,,Salesforce
Logile,355050990,www.logile.com,0,Yes,,,,Salesforce
MaintainX,465721774,www.getmaintainx.com,79,Yes,,,,Salesforce
Partnerize,346139170,www.partnerize.com,1,Yes,,,,Salesforce
Cymulate,414967704,www.cymulate.com,2,Yes,,,,Salesforce
Dutchie,456636953,www.dutchie.com,2,Yes,,,,Salesforce
Rescale,348028559,www.rescale.com,1,Yes,,,,Salesforce
Customized Energy Solutions,13730244,www.ces-ltd.com,0,Yes,,,,Salesforce
Smartasset Advisors,354744892,www.smartasset.com,4,Yes,,,,Salesforce
ChainSys,23337197,www.chainsys.com,10,Yes,,,,Salesforce
CallRail,355635424,www.callrail.com,1,Yes,,,,Salesforce
Advanced Data Systems,1297273,www.adsc.com,1,,Yes,,,HubSpot
Turvo,442312890,www.turvo.com,1,Yes,,,,Salesforce
aPriori,7230360,www.apriori.com,4,Yes,,,,Salesforce
ViON,40976990,www.vion.com,0,Yes,,,,Salesforce
Lever,371612868,www.lever.co,2,Yes,,,,Salesforce
Spreedly,353617837,www.spreedly.com,0,Yes,,,,Salesforce
Rocketlane,350773745,www.rocketlane.com,6,Yes,,,,Salesforce
Hawk Ridge Systems,54086536,www.hawkridgesys.com,20,Yes,,,,Salesforce
Place,343534626,www.place.com,1,Yes,,,,Salesforce
Pentera,562973453,www.pentera.io,15,Yes,,,,Salesforce
T2 Systems,72319468,www.t2systems.com,2,Yes,,,,Salesforce
AiDash,469162567,www.aidash.com,0,Yes,,,,Salesforce
CoinFlip,454702104,coinflip.tech,0,Yes,,,Yes,Salesforce; Zoho CRM
Blue Planet,5046357,www.blueplanet.com,0,Yes,,,,Salesforce
Honeycomb.io,408689294,www.honeycomb.io,4,Yes,,,,Salesforce
Expert Institute,73467931,www.expertinstitute.com,12,Yes,,,,Salesforce
Netchex,353573352,www.netchex.com,12,Yes,,,,Salesforce
Lakeside,69046086,www.lakesidesoftware.com,0,Yes,,,,Salesforce
DataRails,425716997,www.datarails.com,18,Yes,,,,Salesforce
CREXi,371552178,www.crexi.com,72,Yes,,,,Salesforce
Mitsubishi Electric Iconics Digital Solutions,18645253,www.iconics.com,0,Yes,,,,Salesforce
M3,166871680,www.m3as.com,4,Yes,,,,Salesforce
Celero Commerce,462531207,www.celerocommerce.com,1,,Yes,,,HubSpot
CertifyOS,564820327,www.certifyos.com,1,Yes,,,,Salesforce
Planful,481972092,www.planful.com,24,Yes,,,,Salesforce
HomeTown Ticketing,451437455,www.hometownticketing.com,1,Yes,,,,Salesforce
Castor,370409561,www.castoredc.com,0,Yes,,,,Salesforce
Rectangle Health,436508245,www.rectanglehealth.com,26,Yes,,,,Salesforce
Guesty,359121123,www.guesty.com,15,Yes,Yes,,,Salesforce; HubSpot
K Health,447344790,www.khealth.com,0,Yes,,,,Salesforce
Information Builders,19202118,www.ibi.com,1,Yes,,,,Salesforce
Qu POS,371637022,www.qubeyond.com,0,Yes,,,,Salesforce
Built,369354597,www.getbuilt.com,1,Yes,,,,Salesforce
Fishbowl,38784766,www.fishbowlinventory.com,2,Yes,,,,Salesforce
GoEngineer,16285901,www.goengineer.com,51,Yes,,,,Salesforce
Raptor Technologies,94421309,www.raptortech.com,9,Yes,,,,Salesforce
Stellar Information Technology Pvt,108069526,www.stellarinfo.com,10,,,,Yes,Zoho CRM
Wrapbook,471073351,www.wrapbook.com,1,Yes,,,,Salesforce
Enservio,32967861,www.enservio.com,0,Yes,,,,Salesforce
Canto,6636018,www.canto.com,2,Yes,,,,Salesforce
Springbrook Software,99436217,www.springbrooksoftware.com,6,Yes,,,,Salesforce
Brightwheel,370361277,www.mybrightwheel.com,68,Yes,,,,Salesforce
Affinity,405767719,www.affinity.co,4,Yes,,,,Salesforce
XSOLIS,356324217,www.xsolis.com,1,Yes,Yes,,,Salesforce; HubSpot
Aera,407259845,www.aeratechnology.com,1,Yes,,,,Salesforce
Kahua,355777523,www.kahua.com,12,Yes,,,,Salesforce
Temporal Technologies,481724431,www.temporal.io,16,Yes,,,,Salesforce
MCG Health,78431374,www.mcg.com,2,Yes,,,,Salesforce
Canopy,395994382,www.getcanopy.com,2,Yes,Yes,,,Salesforce; HubSpot
DispatchTrack,355153299,www.dispatchtrack.com,3,Yes,Yes,,,Salesforce; HubSpot
MIM Software,37471809,www.mimsoftware.com,0,Yes,,,,Salesforce
Softdocs,351983793,www.softdocs.com,0,Yes,,,,Salesforce
LeanTaaS,347399680,www.leantaas.com,5,Yes,,,,Salesforce
Ever.Ag,547221171,www.ever.ag,1,Yes,,,,Salesforce
Simpplr,369116652,www.simpplr.com,6,Yes,,,,Salesforce
Summit Broadband,348571155,www.summit-broadband.com,1,Yes,,,,Salesforce
Genomenon,368480470,www.genomenon.com,1,Yes,,,,Salesforce
Medrio,347809850,www.medrio.com,2,Yes,,,,Salesforce
Inductive Automation,75646852,www.inductiveautomation.com,1,Yes,,,,Salesforce
ReCharge,395770379,www.getrecharge.com,9,Yes,,,,Salesforce
Red Cat,483185279,redcat.red,0,Yes,,,,Salesforce
Quorum,371828882,www.quorum.us,12,Yes,,,,Salesforce
Redox,371673449,www.redoxengine.com,6,Yes,,,,Salesforce
TeamSnap,353932347,www.teamsnap.com,2,Yes,,,,Salesforce
BuildOps,471096511,www.buildops.com,55,Yes,,,,Salesforce
Validity,456734350,www.validity.com,5,Yes,,,,Salesforce
Kinective,5000005532,www.kinective.io,3,Yes,,,,Salesforce
Conterra Networks,15239777,www.conterra.com,0,Yes,,,,Salesforce
InstaMed,69601433,www.instamed.com,0,Yes,,,,Salesforce
Alchemer,512188084,www.alchemer.com,4,Yes,,,,Salesforce
Qualia,405174231,www.qualia.com,7,Yes,,,,Salesforce
Arena,7213320,www.arenasolutions.com,7,Yes,,,,Salesforce
Karbon,372130529,www.karbonhq.com,13,Yes,,,,Salesforce
ToolsGroup,38486276,www.toolsgroup.com,0,Yes,,,,Salesforce
SpyCloud,412485751,www.spycloud.com,3,Yes,,,,Salesforce
15Five,346094418,www.15five.com,3,Yes,,,,Salesforce
Flashpoint,345550705,www.flashpoint.io,6,Yes,,,,Salesforce
Netrio,369811887,www.netrio.com,2,Yes,,,,Salesforce
Teamworks,117539907,www.teamworks.com,3,Yes,,,,Salesforce
Obsidian,83788395,www.obsidiansecurity.com,2,Yes,,,,Salesforce
Cyble,426925730,www.cyble.com,0,Yes,,,,Salesforce
Corelight,435823497,www.corelight.com,3,Yes,,,,Salesforce
Ushur,371748461,www.ushur.ai,2,Yes,,,,Salesforce
TRG Screen,100616899,www.trgscreen.com,0,Yes,Yes,,,Salesforce; HubSpot
TriNetX,363277407,www.trinetx.com,2,Yes,,,,Salesforce
Alert Media,359083052,www.alertmedia.com,11,Yes,,,,Salesforce
Booksy,358872930,www.booksy.com,1,Yes,,Yes,,Salesforce; Pipedrive
CrunchTime,73517467,www.crunchtime.com,11,Yes,Yes,,,Salesforce; HubSpot
Articulate,3769662,www.articulate.com,11,Yes,,,,Salesforce
Sayari,371565166,www.sayari.com,0,Yes,,,,Salesforce
FinQuery,363322563,www.finquery.com,3,Yes,,,,Salesforce
TetraScience,371448117,www.tetrascience.com,0,Yes,,,,Salesforce
Intraway,90376318,www.intraway.com,1,Yes,,,,Salesforce
HST Pathways,346611297,www.hstpathways.com,6,Yes,,,,Salesforce
Gecko Robotics,373136190,www.geckorobotics.com,0,Yes,,,,Salesforce
Quark,31817798,www.quark.com,1,Yes,,,,Salesforce
DataDome,395958013,www.datadome.co,2,Yes,,,,Salesforce
ASAPP,356450282,www.asapp.com,2,Yes,,,,Salesforce
Crisp,477993855,www.gocrisp.com,0,Yes,,,,Salesforce
Altruist,468076301,www.altruist.com,1,Yes,,,,Salesforce
LegitScript,348007791,www.legitscript.com,0,Yes,,,,Salesforce
Tps,459041826,www.tpsworldwide.com,0,Yes,,,,Salesforce
Workable,353486152,www.workable.com,8,Yes,,,,Salesforce
LeanData,356868635,www.leandata.com,5,Yes,,,,Salesforce
Grant Street Group,51711334,www.grantstreet.com,0,Yes,,,,Salesforce
AgilePoint,353604301,www.agilepoint.com,0,Yes,,,,Salesforce
Bold Penguin,398516175,www.boldpenguin.com,0,Yes,,,,Salesforce
The Predictive Index,197198302,www.predictiveindex.com,5,Yes,,,,Salesforce
Infragistics,19251473,www.infragistics.com,2,Yes,,,,Salesforce
Concentric AI,473929945,www.concentric.ai,9,Yes,,,,Salesforce
Kofile,42257292,www.kofile.com,0,Yes,,,,Salesforce
Juvare,456549834,www.juvare.com,2,Yes,,,,Salesforce
Xtime,43008678,www.xtime.com,0,Yes,,,,Salesforce
Panorama Education,367601642,www.panoramaed.com,5,Yes,,,,Salesforce
Cast,345270451,www.castsoftware.com,0,,Yes,,,HubSpot
Travelzoo,67568295,www.travelzoo.com,1,Yes,,,,Salesforce
Lumin Digital,454668095,www.lumindigital.com,0,Yes,,,,Salesforce
TechSmith,103678045,www.techsmith.com,0,Yes,,,,Salesforce
"Cole Engineering Services, Inc. (CESI)",31526339,www.coleengineering.com,0,Yes,,,,Salesforce
